term,b,se,z,pvalue,ll,ul,or,or_low,or_high,model,sample
const,-2.4448845261607635,0.016258519903605422,-150.3755901924748,0.0,-2.4767506396137575,-2.4130184127077694,0.08673615007972478,0.08401578008612896,0.08954460367969157,mfull,parent
sex_male,0.43577646561857114,0.015240449215600041,28.59341345217782,0.0,0.40590573404778335,0.46564719718935893,1.5461631354973717,1.5006610845442319,1.5930448694863857,mfull,parent
age_c,0.07826733685848497,0.0010048849051338756,77.8868669024915,0.0,0.07629779863581462,0.08023687508115532,1.0814117212421073,1.0792839355880859,1.0835437017809408,mfull,parent
age_c_sq,0.00018199291290621255,6.349395605162126e-05,2.8663029400507094,0.004152966237566558,5.7547045809065874e-05,0.00030643878000335923,1.000182009474621,1.000057548701672,1.0003064857371626,mfull,parent
race_1,-0.1407004824470033,0.03231770034929745,-4.353666285851988,1.3387945776877075e-05,-0.20404201119478382,-0.07735895369922278,0.8687494784514211,0.815428113358389,0.92555756166075,mfull,parent
race_3,0.42599632902730306,0.027420326851339827,15.535785964071678,0.0,0.3722534759543604,0.4797391821002457,1.5311151544410029,1.4510007284780841,1.615652956024208,mfull,parent
race_4,-0.3516837437544587,0.05695607383485868,-6.17464863842526,6.631077908991756e-10,-0.4633155971715858,-0.2400518903373316,0.7035025738813291,0.6291940293144779,0.7865870437405098,mfull,parent
race_5,0.2432938749176468,0.02849436482290561,8.538315432884172,0.0,0.18744594610240678,0.29914180373288685,1.2754433898697963,1.206165049736769,1.348700860730111,mfull,parent
yeardec_2,0.13637760559872666,0.019882445569281954,6.859196728265047,6.9249050937969514e-12,0.09740872835835607,0.17534648283909726,1.1461145911816173,1.102310827252974,1.1916590344965803,mfull,parent
yeardec_3,-0.5520407172461683,0.01503211959053071,-36.72407699536393,0.0,-0.5815031302549075,-0.5225783042374291,0.5757736194969699,0.5590573985914871,0.5929896675079789,mfull,parent
yeardec_4,-2.029221414513294,0.022235121992700134,-91.26198701223652,0.0,-2.072801452810841,-1.9856413762157474,0.1314378168969732,0.1258327728918308,0.13729252970919648,mfull,parent
nk_under18,-0.11588453773936194,0.013689613205843462,-8.465143316824774,0.0,-0.14271568658509903,-0.08905338889362485,0.8905780455157254,0.8670005337396665,0.914796732285244,mfull,parent
minors_mean_age_ctr,-0.011205598150930066,0.002337584518745434,-4.793665452979658,1.637612797811272e-06,-0.01578717961848951,-0.0066240166833706204,0.9888569507135471,0.9843367846953759,0.9933978737542634,mfull,parent
