district_name,race,year,subject,pct_proficient
Non-MMSD Wisconsin,White,2015-16,ELA,50.65323073710785
Non-MMSD Wisconsin,White,2015-16,Mathematics,51.76129747661467
Non-MMSD Wisconsin,White,2016-17,ELA,52.99178202808731
Non-MMSD Wisconsin,White,2016-17,Mathematics,52.1511845847151
Non-MMSD Wisconsin,White,2017-18,ELA,50.80487616971879
Non-MMSD Wisconsin,White,2017-18,Mathematics,53.338695186608355
Non-MMSD Wisconsin,White,2018-19,ELA,49.05181321912675
Non-MMSD Wisconsin,White,2018-19,Mathematics,52.716542613232164
Non-MMSD Wisconsin,White,2021-22,ELA,45.232765947682424
Non-MMSD Wisconsin,White,2021-22,Mathematics,49.088144258917374
Non-MMSD Wisconsin,White,2022-23,ELA,48.123058087384265
Non-MMSD Wisconsin,White,2022-23,Mathematics,51.449441128286225
Madison Metropolitan,Black,2015-16,ELA,9.033708399366086
Madison Metropolitan,Black,2015-16,Mathematics,8.294696249339673
Madison Metropolitan,Black,2016-17,ELA,10.463462157809984
Madison Metropolitan,Black,2016-17,Mathematics,8.749114331723028
Madison Metropolitan,Black,2017-18,ELA,9.841398936170213
Madison Metropolitan,Black,2017-18,Mathematics,9.786813829787233
Madison Metropolitan,Black,2018-19,ELA,10.039665271966527
Madison Metropolitan,Black,2018-19,Mathematics,10.406579497907948
Madison Metropolitan,Black,2021-22,ELA,7.9435178082191795
Madison Metropolitan,Black,2021-22,Mathematics,5.754701369863013
Madison Metropolitan,Black,2022-23,ELA,8.022434065934066
Madison Metropolitan,Black,2022-23,Mathematics,5.659456043956045
Madison Metropolitan,Hispanic,2015-16,ELA,16.52428082191781
Madison Metropolitan,Hispanic,2015-16,Mathematics,15.83980308219178
Madison Metropolitan,Hispanic,2016-17,ELA,17.45015643802647
Madison Metropolitan,Hispanic,2016-17,Mathematics,16.44837545126354
Madison Metropolitan,Hispanic,2017-18,ELA,16.766262505002
Madison Metropolitan,Hispanic,2017-18,Mathematics,19.408835534213686
Madison Metropolitan,Hispanic,2018-19,ELA,16.087191055315813
Madison Metropolitan,Hispanic,2018-19,Mathematics,19.691082777559824
Madison Metropolitan,Hispanic,2021-22,ELA,14.767913322632424
Madison Metropolitan,Hispanic,2021-22,Mathematics,13.847536115569822
Madison Metropolitan,Hispanic,2022-23,ELA,16.228113590263693
Madison Metropolitan,Hispanic,2022-23,Mathematics,14.846945233265721
